building_type,hour,is_business_hours,energy_kWh,pct_of_daily_max,normalized_demand,is_high_demand,global_mean_kWh,global_max_kWh,global_std_kWh,priority_tier,tier_encoded
movie_theater,0.75,0,15.0006514,0.38640601985018724,-3.9238020229698107,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,0.75,0,10.80920391,0.37884161320232224,-3.0307580481014282,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,1.0,0,336.1184276,0.4848227790800192,-1.7667382220748251,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,1.0,0,4.579154203,0.21247736445214987,-1.4680063285870326,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,1.0,0,1.01396008,0.39683457518986337,-1.9652044385188978,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,1.0,0,18.24740887,0.5647835037290864,-1.0722906949617894,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,1.0,0,8.373848888,0.4445334008130296,-2.3902482526666025,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,1.0,0,17.12925053,0.15758511416535526,-1.6741088384358647,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,1.0,0,32.780488,0.28577459837608743,-1.5009608359355993,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,1.0,0,3.054858401,0.1981506250893146,-1.6690133612720688,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,1.0,0,1.249756061,0.21442876471787595,-2.2572758880619896,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,1.0,0,75.75565276,0.1482823861279309,-1.800083464765077,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,1.0,0,108.3092588,0.24037208150198963,-1.503567369628307,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,1.0,0,6.122310736,0.39495756115130365,-2.4533112912050936,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,1.0,0,18.92810638,0.36194212019549415,-3.6804783248846165,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,1.0,0,4.539465457,0.34147885494521785,-4.286904449282059,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,1.0,0,4.800945241,0.3324099969259999,-4.180995375443207,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,1.0,0,4.136288286,0.3203891507233987,-4.250918313396111,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,1.0,0,5.079899219,0.3704918263888556,-4.061120815487566,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,1.0,0,14.38284719,0.3704918265617018,-4.061122467836136,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
